"TASKID","COMPARTMENT1_DRIVER","COMPARTMENT1_ISOLSTACK","COMPARTMENT2_DRIVER","COMPARTMENT2_ISOLSTACK","COMPARTMENT3_DRIVER","COMPARTMENT3_ISOLSTACK","LIBLWIP_COMPARTMENT","LIBLWIP_SFI","LIBNEWLIB_COMPARTMENT","LIBNEWLIB_SFI","LIBNGINX_COMPARTMENT","LIBNGINX_SFI","LIBPTHREAD_EMBEDDED_COMPARTMENT","LIBPTHREAD_EMBEDDED_SFI","LIBTLSF_COMPARTMENT","LIBTLSF_SFI","LIBUKSCHED_COMPARTMENT","LIBUKSCHED_SFI","NUM_COMPARTMENTS"
"01f30ec6fa5caf4910387ee58bca6065","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","y","1","n","1","n","3","y","3"
"027a8beaf7bf0dab37591f2976fab73e","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","2","y","3"
"02f7c73abf5cd35404f70eca09a8ea06","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","n","1","n","3","y","3"
"04097c7ab1aa626d77dfc67a5ea092b3","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","y","1","n","1","n","2","y","3"
"064614846181bcfc696a89cd3cec0315","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","y","1","n","1","n","1","n","3"
"07078fa8ab565f896caa2acce7de1abd","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","y","1","n","1","n","2","n","3"
"09ac3548540700399730eacc68ca54bd","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","n","1","n","3","n","3"
"09d81d0de690a37b74b2d0b874ce3348","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","y","1","n","1","n","3","n","3"
"0a68e98ffa1a6d78476aee1b293fa971","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","y","1","n","1","n","2","y","3"
"0ccdf3f6943cf309e0728349ae17b374","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","n","1","n","1","n","3"
"0e02c52af58dcda46ee75ec5d0af92e9","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","y","1","n","1","n","1","n","3"
"15d1f0d84ed83ed1eb766d6c3bccd05c","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","n","1","n","1","n","3"
"166370a55ea797ec4c18310e3b71b0ff","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","1","n","3"
"1710b25cd7a8cd76e0a1384ce7152f41","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","y","1","n","1","n","2","y","3"
"176b9e68e04e4b674412a214a819ce7d","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","y","1","n","1","n","3","y","3"
"19cb4b73fe87d71799c69c36d1d2d7ac","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","y","1","n","1","n","3","y","3"
"1a7a87fd27d53151deb12c3973c24844","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","y","1","n","1","n","1","y","3"
"1c30286c35cf3817a5b9b5082eb7574f","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","y","1","n","1","n","2","y","3"
"1df159753fc71cbd65b7592f312c5038","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","3","n","3"
"1e4a0a69fdf77233551758e44f771eb8","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","y","1","n","1","n","1","y","3"
"23ca5ae070cd34dfab96de404cb77d52","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","y","1","n","1","n","3","y","3"
"2776911304b3f7dc65f0d250330e679d","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","y","1","n","1","n","2","n","3"
"2eb14a7edf1087c77cf65cfb744b27fa","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","y","1","n","1","n","2","n","3"
"2f9bcaa8f9232473833af041fb14fdb9","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","n","1","n","1","n","1","y","3"
"30b725c2f2beb53d7c55ffac7cbd66c5","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","n","1","n","3","y","3"
"31a757ed011fecd2a05975736de209d5","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","y","1","n","1","n","2","n","3"
"347158d1c9dc40534571bec7d1aea5ab","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","y","1","n","1","n","1","y","3"
"357eb6d1c7e8e2c35f3a48138b60d866","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","n","1","n","2","y","3"
"36d07e3d821400f2de7790d9f32b2f5a","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","1","y","3"
"3811939712fc987dcc2b7ed57513dd39","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","y","1","n","1","n","3","n","3"
"3aacd2c3596e9dad8bebbfc205fd0dcf","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","n","1","n","2","n","3"
"3ac06836dc8ac2978f73fde17e7d27dc","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","y","1","n","1","n","2","n","3"
"3b0e1e9b2fa97357338881d7e472f9ce","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","n","1","n","1","n","3"
"3e4d7b22729097fa40982bd7f1a36698","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","n","1","n","1","n","2","n","3"
"3f16cf5870262e3dc1ea9a6c8ea7602d","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","y","1","n","1","n","2","n","3"
"413904fdf1551e9abb3178fab01eef96","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","n","1","n","2","n","3"
"43587a4262e187cd586111004a69725a","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","n","1","n","1","n","3","y","3"
"466fd8d14e03b94fa3b75f7698e59308","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","y","1","n","1","n","3","n","3"
"4b1c277ce12e6b9bbf57fef908b2163c","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","n","1","n","1","n","1","y","3"
"50e39f32f5e546ad23b7bc85a061633f","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","n","1","n","3","y","3"
"51abe2e6954cbe35bf49c4236e9baae7","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","y","1","n","1","n","1","y","3"
"52899b3fe2e61f4e154291e3c5a9b088","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","y","1","n","1","n","3","y","3"
"5636dcd720e15ec00107878a58a15e82","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","n","1","n","2","n","3"
"569db664c39626ffa1e75fd0c79e5567","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","n","1","n","1","n","3","y","3"
"57cb6ecb5e63ac4fcb09723f92536d71","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","n","1","n","1","n","2","n","3"
"589da19a1eb1d4cf20ebb0cc03120eec","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","n","1","n","1","n","3","n","3"
"5a8627d35df45a1ec3d279b48e8f0d60","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","n","1","n","2","y","3"
"5bc8a3149ae11b9747559199e05a5569","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","n","1","n","1","n","3","y","3"
"5cbaebb8ccaac64981371db0eb7d778a","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","y","1","n","1","n","2","y","3"
"698ff3ba4e2dcf060b5ef4a492f7dee2","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","n","1","n","1","n","3","y","3"
"6c56ca6fc2eb57db591cc1a71b86599d","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","y","1","n","1","n","3","n","3"
"6d1596f6422a80ccf7a834ed49681acf","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","n","1","n","1","n","2","y","3"
"6dd861a3d538d2835c6f112bfdb363c1","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","y","1","n","1","n","2","y","3"
"6e83768082ce8854fdb14f86e570f46e","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","y","1","n","1","n","1","y","3"
"713d94a63b31439074093b4b87c3e4e2","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","2","n","3"
"726a711517e025f1a31767466194c74d","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","n","1","n","1","y","3"
"740797edc9b4a0baf092da96578f6f45","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","y","1","n","1","n","1","y","3"
"743ed75a7611961ba1d81bfd1e4b7d2a","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","n","1","n","1","n","2","y","3"
"74bfb0e0c72f30c9b76eeb03ee0ea1cb","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","n","1","n","1","n","3","y","3"
"77488dad24e475dbcf09a20ed459c1b9","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","y","1","n","1","n","2","n","3"
"78384c22177211f05ebdc3d0a5cfb497","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","y","1","n","1","n","2","n","3"
"78be550ac6ebc255bb1f73b970e273ee","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","y","1","n","1","n","3","y","3"
"7940c83ee147918d49b7ed57864779ca","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","y","1","n","1","n","3","y","3"
"805790ec881717eab4bcf2d0f4b2f201","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","y","1","n","1","n","1","n","3"
"80c0b8f868acd30174c1a686f0f43efc","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","y","1","n","1","n","2","y","3"
"826bcc0e204982d34a8559cf3dc80131","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","y","1","n","1","n","2","n","3"
"82c86950f1324ebd2358ad6e6cdbdc55","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","y","1","n","1","n","3","n","3"
"82ea945180912bcb1701cbb11f7a562a","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","2","y","3"
"85af52480b5765277f06e4078a2b5fbc","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","n","1","n","2","n","3"
"89c03d13495f7bb81cf2dfd3856bc0bb","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","2","n","3"
"8b90f7c80c9ec3ccf542208e34749b96","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","y","1","n","1","n","1","y","3"
"8cf7fbecb2f71ec8b18b648774a33f4b","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","y","1","n","1","n","1","n","3"
"8d0cec062798e8c819d75d33ee650a4a","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","n","1","n","2","n","3"
"8edcee103ce9c8f6b4424005ee8a2dae","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","y","1","n","1","n","1","y","3"
"8ef6de4199738b47d43e7c168bf47b36","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","y","1","n","1","n","1","n","3"
