"TASKID","COMPARTMENT1_DRIVER","COMPARTMENT1_ISOLSTACK","COMPARTMENT2_DRIVER","COMPARTMENT2_ISOLSTACK","COMPARTMENT3_DRIVER","COMPARTMENT3_ISOLSTACK","LIBLWIP_COMPARTMENT","LIBLWIP_SFI","LIBNEWLIB_COMPARTMENT","LIBNEWLIB_SFI","LIBPTHREAD_EMBEDDED_COMPARTMENT","LIBPTHREAD_EMBEDDED_SFI","LIBREDIS_COMPARTMENT","LIBREDIS_SFI","LIBTLSF_COMPARTMENT","LIBTLSF_SFI","LIBUKSCHED_COMPARTMENT","LIBUKSCHED_SFI","NUM_COMPARTMENTS"
"027fe06f22ef7bc413479dbbcaee9eb6","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","n","1","y","1","n","2","n","3"
"038b80c19c8ed4560b9e9756bbfcd62a","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","y","1","n","2","y","3"
"0487c432c8ebe37fe9c57cec7958dd92","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","y","1","n","2","n","3"
"055aaedc9dc6a0a5a5d82bbe20082b0f","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","y","1","n","2","n","3"
"070fe412b6bf6c48c464906b0db52961","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","n","1","n","1","n","1","n","3"
"0bd71feedc38d9feef15d5d7b0245b11","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","n","1","n","1","n","3","n","3"
"0c41ceca9ef35858191bb429f61adccc","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","y","1","n","2","y","3"
"0d7fb2de1d3e091e4b5ff432a3b5ecd1","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","2","y","3"
"0fd7ce2711a51bb6582e63d6f3831b28","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","n","1","n","1","n","2","y","3"
"0fed10b8748ed5c2f652a5b7df917985","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","n","1","n","3","n","3"
"10fef362f1cecea2e6811375ea2b1316","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","2","y","3"
"1258ad7ef3f32c89b39ff1bca943a026","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","n","1","y","1","n","1","n","3"
"12e37eb8efaac786ea5c8ac879637c5b","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","y","1","n","2","n","3"
"130d65713bbc5f593f4659fe44a698ef","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","n","1","n","1","n","3","y","3"
"1b12e9dc03f51242c5dbb18979f1d5c9","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","n","1","y","1","n","3","y","3"
"1c85bf5e4caa12094e2b296a80f6a92b","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","n","1","y","1","n","3","n","3"
"1e265fca638f1eddd34ffa623a9205a6","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","1","n","3"
"1e587ffd73b4ea0432f47f66188bc818","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","1","y","3"
"1fac615b09d409acb7cc891ff36cee1e","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","y","1","n","3","n","3"
"20779cd759fe85ca79e630a004e71cd9","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","n","1","y","1","n","3","n","3"
"209a7f06186f63957741c5cd1a8ba0c3","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","n","1","n","2","y","3"
"248a4ae75b21d19c94888bdefc86118c","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","n","1","y","1","n","3","n","3"
"256d5a26dd5df5155cbde4c9552dd377","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","n","1","n","1","y","1","n","2","n","3"
"270272f4576985b241c8e6f15e4e04db","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","2","n","3"
"28a63b57e8dda2cc33234597df17d27b","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","n","1","n","3","n","3"
"2995d05a44ae6e76775aca7a5d47fc1e","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","n","1","n","2","y","3"
"2abe9fbb5841a5535b46204f55a02e28","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","y","1","n","1","y","3"
"2b77f95a3a01ea3225320222e47d2ab4","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","y","1","n","1","n","3"
"2c5a4f3e509aca629b65a76bbeed5e1e","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","3","y","3"
"2ca73e71437b376f00c843285d8213ff","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","n","1","n","3","n","3"
"2d53f8288f487c6355d33477557186b1","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","y","1","n","3","y","3"
"2e6ce723a21d485a62f6cfaa8989ce0f","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","n","1","n","1","n","3"
"3230d4baef2748d42694d56d5442f3ef","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","n","1","n","1","n","1","y","3"
"32b05e758c6ba9834497fa99e2ded677","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","n","1","n","2","n","3"
"33b83346819f0a7dfcb672b5a7732f42","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","3","n","3"
"345ec798fc32299811a763c136f9be87","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","n","1","n","2","n","3"
"3520460e0b00d0bcbd89ef44101764bf","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","y","1","n","1","n","3"
"35bb50d19aede3add785f0e1b07fb4ff","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","y","1","n","2","y","3"
"376a36c90fff3b4e10b011243ae3ccf1","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","n","1","n","1","n","3","y","3"
"39ae848fc6e5267e605c4f2ec4da70ef","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","n","1","n","1","n","3","y","3"
"3e5fab977855d4772a887b6eaeead137","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","n","1","n","1","n","3","y","3"
"4178e3e53bb939b4b20a028320698a07","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","n","1","n","1","n","1","n","2","y","3"
"41c54ac3e6b67a2317bc428a3d7cae95","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","y","1","n","1","n","3"
"4300394f6ba80e322fbd961352370837","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","n","1","n","1","n","1","n","1","y","3"
"43251d1ed741f872b6ba670e33f4bc40","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","y","1","n","1","y","3"
"4411e162d7d96a04874a885d91563e8f","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","y","1","n","3","y","3"
"4719e8f636b40046677b56208bc440fe","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","n","1","n","1","n","3"
"4ba69714a0ab1813bf4638172b08fd0b","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","y","1","n","3","n","3"
"4d55c5253821320a7fb7862b630329b4","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","n","1","n","1","n","1","n","3","y","3"
"4e68b82fd06086092315ee9df5d58c93","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","y","1","n","2","n","3"
"4eb40a018335914b4a45e75d7c8e7cd7","intel-pku","false","intel-pku","false","intel-pku","false","2","y","1","y","1","n","1","n","1","n","1","y","3"
"50f6e4bbe68856e632f53ca399fce39c","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","n","1","n","2","y","3"
"518789077681f6f0c7a00daba89dfa26","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","n","1","n","3","n","3"
"5271226525e0ae82be97e95425f4a680","intel-pku","false","intel-pku","false","intel-pku","false","1","n","1","y","1","n","1","n","1","n","3","n","3"
"53763dd749a3e122057c59ca0d499ac8","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","y","1","n","1","n","3"
"564b39c8e1e3dc3daa38233c2583efbc","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","y","1","n","1","y","1","n","3","y","3"
"574258154be5cd20a0a1a748730bedf3","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","y","1","n","1","n","1","n","3","y","3"
"5bdaa66853f269aaadbc23a3e1baf64d","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","n","1","n","2","y","3"
"5f55787624b864552b696626f4b96a5e","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","1","y","3"
"62cdd89baa4ca1599f9a36c25e67c8e7","intel-pku","false","intel-pku","false","intel-pku","false","3","n","1","n","1","n","1","n","1","n","1","n","3"
"62eaa2b1fe9dbc0765c0dc4034cb24ba","intel-pku","false","intel-pku","false","intel-pku","false","1","y","1","n","1","n","1","n","1","n","1","n","3"
"634a96ffb067c1bac3601d09cb421988","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","y","1","n","1","y","3"
"636b688af3121a056d8da303ab7431a2","intel-pku","false","intel-pku","false","intel-pku","false","3","y","1","y","1","n","1","y","1","n","1","n","3"
"64bb0fb94df616d82ad27caf1486211f","intel-pku","false","intel-pku","false","intel-pku","false","2","n","1","y","1","n","1","n","1","n","3","n","3"
