TASKID,CHUNK,ITERATION,METHOD,VALUE
027fe06f22ef7bc413479dbbcaee9eb6,5,1,SET,333333.31
027fe06f22ef7bc413479dbbcaee9eb6,5,1,GET,431034.50
027fe06f22ef7bc413479dbbcaee9eb6,5,2,SET,378787.88
027fe06f22ef7bc413479dbbcaee9eb6,5,2,GET,460829.50
027fe06f22ef7bc413479dbbcaee9eb6,5,3,SET,378787.88
027fe06f22ef7bc413479dbbcaee9eb6,5,3,GET,458715.59
027fe06f22ef7bc413479dbbcaee9eb6,5,4,SET,380228.12
027fe06f22ef7bc413479dbbcaee9eb6,5,4,GET,456621.00
027fe06f22ef7bc413479dbbcaee9eb6,5,5,SET,375939.84
027fe06f22ef7bc413479dbbcaee9eb6,5,5,GET,395256.94
038b80c19c8ed4560b9e9756bbfcd62a,5,1,SET,248138.95
038b80c19c8ed4560b9e9756bbfcd62a,5,1,GET,310559.00
038b80c19c8ed4560b9e9756bbfcd62a,5,2,SET,249376.56
038b80c19c8ed4560b9e9756bbfcd62a,5,2,GET,307692.31
038b80c19c8ed4560b9e9756bbfcd62a,5,3,SET,247524.75
038b80c19c8ed4560b9e9756bbfcd62a,5,3,GET,308641.97
038b80c19c8ed4560b9e9756bbfcd62a,5,4,SET,247524.75
038b80c19c8ed4560b9e9756bbfcd62a,5,4,GET,306748.47
038b80c19c8ed4560b9e9756bbfcd62a,5,5,SET,246913.58
038b80c19c8ed4560b9e9756bbfcd62a,5,5,GET,295858.00
0487c432c8ebe37fe9c57cec7958dd92,5,1,SET,255102.05
0487c432c8ebe37fe9c57cec7958dd92,5,1,GET,315457.41
0487c432c8ebe37fe9c57cec7958dd92,5,2,SET,248138.95
0487c432c8ebe37fe9c57cec7958dd92,5,2,GET,316455.69
0487c432c8ebe37fe9c57cec7958dd92,5,3,SET,249376.56
0487c432c8ebe37fe9c57cec7958dd92,5,3,GET,317460.31
0487c432c8ebe37fe9c57cec7958dd92,5,4,SET,255754.47
0487c432c8ebe37fe9c57cec7958dd92,5,4,GET,303951.38
0487c432c8ebe37fe9c57cec7958dd92,5,5,SET,256410.27
0487c432c8ebe37fe9c57cec7958dd92,5,5,GET,316455.69
055aaedc9dc6a0a5a5d82bbe20082b0f,5,1,SET,392156.88
055aaedc9dc6a0a5a5d82bbe20082b0f,5,1,GET,456621.00
